bc,nsub,dip,variant,ncol,nlay,status,rms_all_mm,rms_mid_mm,max_abs_mm,drop_mid_mm,drop_ana_mm,drop_ratio,kgeo
analytical,1,0.0,corrected,21,3,ok,5.470077105934751e-09,4.652451090259225e-09,9.331924122335522e-09,49.99999999878811,50.00000000000001,0.999999999975762,"1.0,1.0,1.0"
analytical,1,5.0,corrected,21,3,ok,5.222695236625473e-08,9.062453295113165e-09,1.9489466984712323e-07,49.62019382766484,49.62019382530521,1.000000000047554,"1.0,1.0,1.0"
analytical,1,10.0,corrected,21,3,ok,4.905658420251995e-08,3.5311807081297045e-08,1.1087945839260982e-07,48.4923155154568,48.49231551964771,0.9999999999135759,"1.0,1.0,1.0"
analytical,1,15.0,corrected,21,3,ok,4.682205549060035e-08,5.2797894495904505e-08,9.367097375534428e-08,46.650635091152985,46.650635094610976,0.9999999999258747,"1.0,1.0,1.0"
analytical,1,20.0,corrected,21,3,ok,4.077196207584366e-08,3.848751997559846e-08,1.197593413326814e-07,44.1511110788249,44.15111107797444,1.0000000000192624,"1.0,1.0,1.0"
analytical,1,25.0,corrected,21,3,ok,4.7319005291860945e-08,2.159849441654406e-08,1.7028996268653174e-07,41.0696902423577,41.06969024216348,1.000000000004729,"1.0,1.0,1.0"
analytical,1,30.0,corrected,21,3,ok,6.564838511521047e-09,8.44238960966811e-09,1.344960254279215e-08,37.49999999533702,37.49999999999999,0.9999999998756541,"1.0,1.0,1.0"
analytical,1,35.0,corrected,21,3,ok,1.1049181349157226e-08,5.4483657539376545e-09,2.4580795732198624e-08,33.550503581042165,33.55050358314172,0.9999999999374212,"1.0,1.0,1.0"
analytical,1,40.0,corrected,21,3,ok,1.8880254165920363e-08,2.5174131273827745e-08,2.8759133963163208e-08,29.341204439212444,29.34120444167326,0.9999999999161311,"1.0,1.0,1.0"
analytical,1,45.0,corrected,21,3,ok,1.6735890776159733e-09,2.344692057390282e-09,3.939404358277443e-09,24.99999999860605,25.00000000000001,0.9999999999442416,"1.0,1.0,1.0"
analytical,1,50.0,corrected,21,3,ok,1.9658812251844e-08,1.8147093852562372e-08,2.4134402809572464e-08,20.658795556732397,20.658795558326748,0.9999999999228246,"1.0,1.0,1.0"
analytical,1,55.0,corrected,21,3,ok,4.1205181946702615e-09,8.945059815004099e-10,1.4209543264254165e-08,16.44949641586674,16.449496416858278,0.9999999999397223,"1.0,1.0,1.0"
analytical,1,60.0,corrected,21,3,ok,1.751308673567672e-09,2.2887797230179743e-09,3.8004738245334124e-09,12.499999998899074,12.500000000000007,0.9999999999119253,"1.0,1.0,1.0"
analytical,1,0.0,corrected_xt3d,21,3,ok,1.4192869010570452e-09,1.612771396010861e-09,2.8197305601551648e-09,49.99999999915006,50.00000000000001,0.9999999999830012,"1.0,1.0,1.0"
analytical,1,5.0,corrected_xt3d,21,3,ok,5.2380503157458106e-08,9.465718256162147e-09,1.9605327084004642e-07,49.62019382783566,49.62019382530521,1.0000000000509963,"1.0,1.0,1.0"
analytical,1,10.0,corrected_xt3d,21,3,ok,4.867035955076753e-08,3.660226889792034e-08,1.1175312064626297e-07,48.49231551661517,48.49231551964771,0.9999999999374635,"1.0,1.0,1.0"
analytical,1,15.0,corrected_xt3d,21,3,ok,4.6516211343634115e-08,5.352916135656021e-08,1.0843166642349189e-07,46.65063509048775,46.650635094610976,0.9999999999116147,"1.0,1.0,1.0"
analytical,1,20.0,corrected_xt3d,21,3,ok,4.0667543738079126e-08,3.642913283729307e-08,1.4442236295764133e-07,44.15111107972392,44.15111107797444,1.0000000000396247,"1.0,1.0,1.0"
analytical,1,25.0,corrected_xt3d,21,3,ok,4.941262990938257e-08,1.6386784595266685e-08,2.1064633370926344e-07,41.069690245394966,41.06969024216348,1.000000000078683,"1.0,1.0,1.0"
analytical,1,30.0,corrected_xt3d,21,3,ok,3.2129972241023026e-09,3.525369735087686e-09,8.071265877873657e-09,37.4999999982931,37.49999999999999,0.9999999999544829,"1.0,1.0,1.0"
analytical,1,35.0,corrected_xt3d,21,3,ok,1.0965500612258382e-08,8.065615448850632e-09,2.661122711078434e-08,33.550503582705545,33.55050358314172,0.9999999999869995,"1.0,1.0,1.0"
analytical,1,40.0,corrected_xt3d,21,3,ok,1.8292518724012812e-08,2.0363282644153742e-08,2.5550284110664734e-08,29.341204442130568,29.34120444167326,1.0000000000155858,"1.0,1.0,1.0"
analytical,1,45.0,corrected_xt3d,21,3,ok,4.5572077584031365e-10,5.487959463827263e-10,1.0496395419501425e-09,25.000000000333486,25.00000000000001,1.0000000000133389,"1.0,1.0,1.0"
analytical,1,50.0,corrected_xt3d,21,3,ok,2.0329412969292325e-08,2.1162117516401192e-08,2.4013228905328532e-08,20.658795558508423,20.658795558326748,1.0000000000087943,"1.0,1.0,1.0"
analytical,1,55.0,corrected_xt3d,21,3,ok,4.253760917912558e-09,1.6987050634819419e-09,1.7725723666650595e-08,16.449496416802216,16.449496416858278,0.9999999999965918,"1.0,1.0,1.0"
analytical,1,60.0,corrected_xt3d,21,3,ok,1.3274151132778848e-09,1.3127294271243424e-09,3.279175542214574e-09,12.499999999637874,12.500000000000007,0.9999999999710293,"1.0,1.0,1.0"
analytical,1,0.0,planview,21,3,ok,5.470077105934751e-09,4.652451090259225e-09,9.331924122335522e-09,49.99999999878811,50.00000000000001,0.999999999975762,"1.0,1.0,1.0"
analytical,1,5.0,planview,21,3,ok,0.5351867510505487,0.595334141928654,0.7563391964765104,49.99686119445912,49.62019382530521,1.0075910096296685,"1.0,1.0,1.0"
analytical,1,10.0,planview,21,3,ok,2.1244856234003726,2.36324772200813,3.002375894757603,49.987540147150725,48.49231551964771,1.0308342592322117,"1.0,1.0,1.0"
analytical,1,15.0,planview,21,3,ok,4.719606449586453,5.250023392000179,6.669865203714764,49.972320076088884,46.650635094610976,1.0712034246638076,"1.0,1.0,1.0"
analytical,1,20.0,planview,21,3,ok,8.24169798190354,9.16794815237206,11.647372548711413,49.95166343396197,44.15111107797444,1.131379533025642,"1.0,1.0,1.0"
analytical,1,25.0,planview,21,3,ok,12.583743180760525,13.997977761464362,17.783658801081014,49.92619786213389,41.06969024216348,1.215645834379292,"1.0,1.0,1.0"
analytical,1,30.0,planview,21,3,ok,17.613811162097996,19.593354204752323,24.892276001327442,49.89669711786638,37.49999999999999,1.3305785898097704,"1.0,1.0,1.0"
analytical,1,35.0,planview,21,3,ok,23.179065897251807,25.784064787291708,32.75723239420753,49.86405756654245,33.55050358314172,1.4862387219605813,"1.0,1.0,1.0"
analytical,1,40.0,planview,21,3,ok,29.110409886924657,32.382007883325805,41.139555246229406,49.82927094841439,29.34120444167326,1.698269443828351,"1.0,1.0,1.0"
analytical,1,45.0,planview,21,3,ok,35.22762232490536,39.186708412740295,49.78455200750515,49.79339423773466,25.00000000000001,1.9917357695093854,"1.0,1.0,1.0"
analytical,1,50.0,planview,21,3,ok,41.34483476176123,45.991408937288405,58.42954876058688,49.75751752353474,20.658795558326748,2.408539132063749,"1.0,1.0,1.0"
analytical,1,55.0,planview,21,3,ok,47.276178759441564,52.58935204104701,66.81187161941476,49.72273090391534,16.449496416858278,3.022750948956526,"1.0,1.0,1.0"
analytical,1,60.0,planview,21,3,ok,52.841433487108525,58.78006261831152,74.6768280083085,49.690091355162814,12.500000000000007,3.975207308413023,"1.0,1.0,1.0"
analytical,1,0.0,planview_xt3d,21,3,ok,1.4192869010570452e-09,1.612771396010861e-09,2.8197305601551648e-09,49.99999999915006,50.00000000000001,0.9999999999830012,"1.0,1.0,1.0"
analytical,1,5.0,planview_xt3d,21,3,ok,0.5348229768803403,0.5952351601247762,0.7562388071079146,49.996802042065006,49.62019382530521,1.0075898175264228,"1.0,1.0,1.0"
analytical,1,10.0,planview_xt3d,21,3,ok,2.1237447375520597,2.362119148885028,3.002010914599146,49.98687276617341,48.49231551964771,1.0308204966191015,"1.0,1.0,1.0"
analytical,1,15.0,planview_xt3d,21,3,ok,4.714817756084348,5.2447104291606905,6.669700116303856,49.96917701847823,46.650635094610976,1.0711360502839244,"1.0,1.0,1.0"
analytical,1,20.0,planview_xt3d,21,3,ok,8.225083177654454,9.150414967537467,11.645166149800865,49.941315054188316,44.15111107797444,1.1311451475363306,"1.0,1.0,1.0"
analytical,1,25.0,planview_xt3d,21,3,ok,12.563395887557288,13.956606549488757,17.782829095522104,49.90171727593284,41.06969024216348,1.215049760095393,"1.0,1.0,1.0"
analytical,1,30.0,planview_xt3d,21,3,ok,17.55381250652271,19.50454907212082,24.88950747441279,49.84411904524693,37.49999999999999,1.3291765078732518,"1.0,1.0,1.0"
analytical,1,35.0,planview_xt3d,21,3,ok,23.063330575551973,25.61212192172069,32.74655434120074,49.762245349755084,33.55050358314172,1.4832041261747069,"1.0,1.0,1.0"
analytical,1,40.0,planview_xt3d,21,3,ok,28.906672778137498,32.06881329708983,41.139141585381815,49.64369123049099,29.34120444167326,1.691944559712148,"1.0,1.0,1.0"
analytical,1,45.0,planview_xt3d,21,3,ok,34.87256520974427,38.65680500830756,49.76296765094796,49.47953417916021,25.00000000000001,1.9791813671664076,"1.0,1.0,1.0"
analytical,1,50.0,planview_xt3d,21,3,ok,40.7571728439863,45.11199635538044,58.410530863431326,49.2365513730809,20.658795558326748,2.3833214881317506,"1.0,1.0,1.0"
analytical,1,55.0,planview_xt3d,21,3,ok,46.47114925032755,51.15603326330891,66.81925786687307,48.87253636980558,16.449496416858278,2.971065808417,"1.0,1.0,1.0"
analytical,1,60.0,planview_xt3d,21,3,ok,51.30045427344329,56.42930515822554,74.744933461396,48.29632853586903,12.500000000000007,3.86370628286952,"1.0,1.0,1.0"
analytical,1,0.0,provost_std,21,3,ok,5.470077105934751e-09,4.652451090259225e-09,9.331924122335522e-09,49.99999999878811,50.00000000000001,0.999999999975762,"1.0,1.0,1.0"
analytical,1,5.0,provost_std,21,3,ok,5.186423716622199,5.724054309985287,7.264776788808297,45.99894596791749,49.62019382530521,0.9270206829474141,"1.0,1.0,1.0"
analytical,1,10.0,provost_std,21,3,ok,8.606388647883426,9.425893261767303,11.952859768777358,42.52961256163742,48.49231551964771,0.8770381885436184,"1.0,1.0,1.0"
analytical,1,15.0,provost_std,21,3,ok,10.468531297977894,11.37830629997056,14.418413020917399,39.453305937753626,46.650635094610976,0.845718517180728,"1.0,1.0,1.0"
analytical,1,20.0,provost_std,21,3,ok,10.965402660160933,11.826948446299266,14.978138972452204,36.6703596443035,44.15111107797444,0.8305648204309213,"1.0,1.0,1.0"
analytical,1,25.0,provost_std,21,3,ok,10.289096553777492,11.009968912706478,13.936983758318936,34.10595494150588,41.06969024216348,0.8304410074778601,"1.0,1.0,1.0"
analytical,1,30.0,provost_std,21,3,ok,8.639150278130964,9.167991901681074,11.601275720582615,31.701463977920522,37.49999999999999,0.8453723727445475,"1.0,1.0,1.0"
analytical,1,35.0,provost_std,21,3,ok,6.225723508347699,6.5483328716948535,8.284410869153962,29.408916139545635,33.55050358314172,0.8765566235590835,"1.0,1.0,1.0"
analytical,1,40.0,provost_std,21,3,ok,3.2696502565692356,3.4056028030980303,4.307958758268074,27.187303957362047,29.34120444167326,0.926591272400119,"1.0,1.0,1.0"
analytical,1,45.0,provost_std,21,3,ok,1.0655617005109047e-09,1.4217474733336453e-09,2.581400371237663e-09,24.999999999430916,25.00000000000001,0.9999999999772361,"1.0,1.0,1.0"
analytical,1,50.0,provost_std,21,3,ok,3.3224210407466415,3.4057511788783525,4.30797566840669,22.812781940098198,20.658795558326748,1.104264857827264,"1.0,1.0,1.0"
analytical,1,55.0,provost_std,21,3,ok,6.428128574025782,6.549596408593238,8.284658118773109,20.591824988160614,16.449496416858278,1.2518209959945683,"1.0,1.0,1.0"
analytical,1,60.0,provost_std,21,3,ok,9.081104180977627,9.17261353486738,11.602540377807905,18.301270176459823,12.500000000000007,1.464101614116785,"1.0,1.0,1.0"
analytical,1,0.0,provost_xt3d,21,3,ok,1.4192869010570452e-09,1.612771396010861e-09,2.8197305601551648e-09,49.99999999915006,50.00000000000001,0.9999999999830012,"1.0,1.0,1.0"
analytical,1,5.0,provost_xt3d,21,3,ok,4.898935474898856e-08,1.3325574593064438e-08,1.866615056966836e-07,49.620193826878726,49.62019382530521,1.0000000000317113,"1.0,1.0,1.0"
analytical,1,10.0,provost_xt3d,21,3,ok,5.102489305687259e-08,4.2311693423113756e-08,1.0716713627623164e-07,48.49231552076278,48.49231551964771,1.000000000022995,"1.0,1.0,1.0"
analytical,1,15.0,provost_xt3d,21,3,ok,4.2326334687334115e-08,4.5911909270495924e-08,8.876166468496649e-08,46.65063509590585,46.650635094610976,1.000000000027757,"1.0,1.0,1.0"
analytical,1,20.0,provost_xt3d,21,3,ok,3.7840757885774216e-08,3.8441258711458306e-08,1.0181493148575527e-07,44.15111107811793,44.15111107797444,1.00000000000325,"1.0,1.0,1.0"
analytical,1,25.0,provost_xt3d,21,3,ok,3.6886103462872344e-08,2.0418982306700727e-08,1.421946310697919e-07,41.06969024255151,41.06969024216348,1.000000000009448,"1.0,1.0,1.0"
analytical,1,30.0,provost_xt3d,21,3,ok,7.311717876113609e-09,7.139293027108053e-09,1.435304652908087e-08,37.50000000179319,37.49999999999999,1.0000000000478186,"1.0,1.0,1.0"
analytical,1,35.0,provost_xt3d,21,3,ok,1.1997492187845375e-08,1.1102755398523092e-08,2.1851701004216295e-08,33.550503584541914,33.55050358314172,1.0000000000417342,"1.0,1.0,1.0"
analytical,1,40.0,provost_xt3d,21,3,ok,1.9902742855418785e-08,2.0756825530653428e-08,2.5528745783987006e-08,29.34120444179259,29.34120444167326,1.000000000004067,"1.0,1.0,1.0"
analytical,1,45.0,provost_xt3d,21,3,ok,2.967500843955373e-14,2.3603898398915115e-14,6.938893903907228e-14,24.999999999999996,25.00000000000001,0.9999999999999994,"1.0,1.0,1.0"
analytical,1,50.0,provost_xt3d,21,3,ok,3.326009955472313,3.405752506986403,4.307975708747809,22.812782783666503,20.658795558326748,1.1042648986606372,"1.0,1.0,1.0"
analytical,1,55.0,provost_xt3d,21,3,ok,6.436953156522076,6.549597005954269,8.28465813355002,20.591825349184678,16.449496416858278,1.251821017941992,"1.0,1.0,1.0"
analytical,1,60.0,provost_xt3d,21,3,ok,9.088674753380591,9.172613553089583,11.602540415021421,18.301270186500545,12.500000000000007,1.4641016149200428,"1.0,1.0,1.0"
analytical,2,0.0,corrected,42,6,ok,9.915860874117229e-09,9.188009744565078e-09,2.0602991535056958e-08,49.99999999938755,50.0,0.9999999999877509,"1.0,1.0,1.0"
analytical,2,5.0,corrected,42,6,ok,2.8031414048700438e-08,3.035872404135535e-08,4.0613838681036185e-08,49.62019381617676,49.6201938253052,0.9999999998160337,"1.0,1.0,1.0"
analytical,2,10.0,corrected,42,6,ok,4.545679539936139e-08,2.864034484138806e-08,1.8673898538601463e-07,48.492315525173524,48.49231551964771,1.0000000001139524,"1.0,1.0,1.0"
analytical,2,15.0,corrected,42,6,ok,5.6343930722666775e-08,3.553217677249628e-08,2.5395871516842305e-07,46.650635100066,46.65063509461098,1.0000000001169334,"1.0,1.0,1.0"
analytical,2,20.0,corrected,42,6,ok,3.697519258801223e-08,2.0719698761005028e-08,2.2996086979087949e-07,44.151111070136,44.15111107797446,0.9999999998224628,"1.0,1.0,1.0"
analytical,2,25.0,corrected,42,6,ok,3.8063583597120553e-08,4.163860502545339e-08,8.542944129885655e-08,41.06969024325709,41.06969024216348,1.0000000000266283,"1.0,1.0,1.0"
analytical,2,30.0,corrected,42,6,ok,1.330224995850664e-08,8.312026236936553e-09,3.426582628751618e-08,37.50000000353737,37.500000000000014,1.0000000000943294,"1.0,1.0,1.0"
analytical,2,35.0,corrected,42,6,ok,2.0279981900344533e-08,1.0820854401925254e-08,5.1035745074479166e-08,33.55050358680124,33.55050358314172,1.0000000001090752,"1.0,1.0,1.0"
analytical,2,40.0,corrected,42,6,ok,1.9508365083056255e-08,1.4113904123990048e-08,4.203824788273636e-08,29.341204438300203,29.34120444167326,0.9999999998850403,"1.0,1.0,1.0"
analytical,2,45.0,corrected,42,6,ok,2.025733149277022e-08,1.9314264074813303e-08,3.8273328950566565e-08,24.999999999947057,25.0,0.9999999999978822,"1.0,1.0,1.0"
analytical,2,50.0,corrected,42,6,ok,4.650909502834296e-09,3.901823026031388e-09,1.196621968180267e-08,20.6587955599687,20.658795558326748,1.0000000000794795,"1.0,1.0,1.0"
analytical,2,55.0,corrected,42,6,ok,1.1691055105008507e-08,1.719594678574254e-08,2.8985099043143947e-08,16.449496410248532,16.449496416858278,0.9999999995981793,"1.0,1.0,1.0"
