bc,nsub,dip,variant,ncol,nlay,status,rms_all_mm,rms_mid_mm,max_abs_mm,drop_mid_mm,drop_ana_mm,drop_ratio,kgeo
analytical,1,0.0,corrected,21,3,ok,2.7073875875783614e-07,3.8367990344299534e-07,5.332521091361286e-07,2524.999999843837,2524.9999999999995,0.9999999999381534,"1.0,0.01,1.0"
analytical,1,5.0,corrected,21,3,ok,2.0200588708006617e-06,1.9864954522970544e-06,3.025341754891997e-06,2505.8197869873857,2505.819788177912,0.9999999995248955,"1.0,0.01,1.0"
analytical,1,10.0,corrected,21,3,ok,2.5830488560075033e-06,2.0308526730429e-06,4.3750230105388255e-06,2448.861935047666,2448.8619337422087,1.0000000005330874,"1.0,0.01,1.0"
analytical,1,15.0,corrected,21,3,ok,1.5298370951118278e-06,1.5962474495917429e-06,2.0159740543590488e-06,2355.8570713539884,2355.857072277854,0.999999999607843,"1.0,0.01,1.0"
analytical,1,20.0,corrected,21,3,ok,2.831994503922189e-06,2.63283199095165e-06,4.137728382147543e-06,2229.6311078382337,2229.63110943771,0.9999999992826273,"1.0,0.01,1.0"
analytical,1,25.0,corrected,21,3,ok,6.082944366202438e-07,8.619131953566874e-07,1.0655551996308077e-06,2074.019356863638,2074.0193572292565,0.9999999998237151,"1.0,0.01,1.0"
analytical,1,30.0,corrected,21,3,ok,6.352776881542324e-07,8.39421486157183e-07,1.0838983044436645e-06,1893.7499994941295,1893.7500000000005,0.9999999997328735,"1.0,0.01,1.0"
analytical,1,35.0,corrected,21,3,ok,2.710614451504821e-06,2.7033841875947727e-06,3.614319066258531e-06,1694.3004292204525,1694.3004309486564,0.9999999989799896,"1.0,0.01,1.0"
analytical,1,40.0,corrected,21,3,ok,1.5956353621832126e-06,1.9435264405844022e-06,2.8558369002951167e-06,1481.730823067147,1481.7308243044993,0.9999999991649277,"1.0,0.01,1.0"
analytical,1,45.0,corrected,21,3,ok,1.923669357310439e-06,2.4005050170074882e-06,3.857786978755939e-06,1262.4999984965216,1262.5000000000005,0.9999999988091256,"1.0,0.01,1.0"
analytical,1,50.0,corrected,21,3,ok,3.161731964927695e-07,1.7570234391532082e-07,7.207634489247994e-07,1043.2691757572854,1043.2691756955007,1.0000000000592222,"1.0,0.01,1.0"
analytical,1,55.0,corrected,21,3,ok,1.3042260846488578e-06,5.845017015061258e-07,3.1766775876462816e-06,830.6995693350077,830.699569051343,1.0000000003414768,"1.0,0.01,1.0"
